video,prompt,vace_reference_image,poses,depth,original_pose_height,original_pose_width
AncientRuins/AncientRuins_ep28_2025-11-17-22-54-25/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep28_2025-11-17-22-54-25/rgb.mp4,AncientRuins/AncientRuins_ep28_2025-11-17-22-54-25/pose.json,AncientRuins/AncientRuins_ep28_2025-11-17-22-54-25/depth.mp4,480,832
AncientRuins/AncientRuins_ep29_2025-11-17-22-57-15/rgb.mp4,A picturesque landscape featuring ancient stone ruins amidst lush greenery and towering mountains under a dynamic sky filled with clouds.,AncientRuins/AncientRuins_ep29_2025-11-17-22-57-15/rgb.mp4,AncientRuins/AncientRuins_ep29_2025-11-17-22-57-15/pose.json,AncientRuins/AncientRuins_ep29_2025-11-17-22-57-15/depth.mp4,480,832
AncientRuins/AncientRuins_ep2_2025-11-17-21-40-59/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, creating a serene and timeless atmosphere.",AncientRuins/AncientRuins_ep2_2025-11-17-21-40-59/rgb.mp4,AncientRuins/AncientRuins_ep2_2025-11-17-21-40-59/pose.json,AncientRuins/AncientRuins_ep2_2025-11-17-21-40-59/depth.mp4,480,832
AncientRuins/AncientRuins_ep30_2025-11-17-23-00-04/rgb.mp4,A majestic landscape featuring ancient stone ruins amidst lush greenery and towering mountains under a dynamic sky filled with clouds.,AncientRuins/AncientRuins_ep30_2025-11-17-23-00-04/rgb.mp4,AncientRuins/AncientRuins_ep30_2025-11-17-23-00-04/pose.json,AncientRuins/AncientRuins_ep30_2025-11-17-23-00-04/depth.mp4,480,832
AncientRuins/AncientRuins_ep31_2025-11-17-23-02-52/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and purple flowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep31_2025-11-17-23-02-52/rgb.mp4,AncientRuins/AncientRuins_ep31_2025-11-17-23-02-52/pose.json,AncientRuins/AncientRuins_ep31_2025-11-17-23-02-52/depth.mp4,480,832
AncientRuins/AncientRuins_ep32_2025-11-17-23-05-42/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep32_2025-11-17-23-05-42/rgb.mp4,AncientRuins/AncientRuins_ep32_2025-11-17-23-05-42/pose.json,AncientRuins/AncientRuins_ep32_2025-11-17-23-05-42/depth.mp4,480,832
AncientRuins/AncientRuins_ep33_2025-11-17-23-08-33/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, creating a serene and timeless atmosphere.",AncientRuins/AncientRuins_ep33_2025-11-17-23-08-33/rgb.mp4,AncientRuins/AncientRuins_ep33_2025-11-17-23-08-33/pose.json,AncientRuins/AncientRuins_ep33_2025-11-17-23-08-33/depth.mp4,480,832
AncientRuins/AncientRuins_ep34_2025-11-17-23-11-18/rgb.mp4,Ancient stone ruins with overgrown vegetation and arches stand amidst a breathtaking mountainous landscape under a dynamic sky filled with clouds.,AncientRuins/AncientRuins_ep34_2025-11-17-23-11-18/rgb.mp4,AncientRuins/AncientRuins_ep34_2025-11-17-23-11-18/pose.json,AncientRuins/AncientRuins_ep34_2025-11-17-23-11-18/depth.mp4,480,832
AncientRuins/AncientRuins_ep35_2025-11-17-23-14-10/rgb.mp4,"An ancient stone ruin with arches and columns stands amidst lush greenery and purple flowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep35_2025-11-17-23-14-10/rgb.mp4,AncientRuins/AncientRuins_ep35_2025-11-17-23-14-10/pose.json,AncientRuins/AncientRuins_ep35_2025-11-17-23-14-10/depth.mp4,480,832
AncientRuins/AncientRuins_ep36_2025-11-17-23-17-02/rgb.mp4,"A lush, green landscape with wildflowers and grasses, transitioning through stone ruins and expansive mountain vistas under a dynamic sky filled with clouds.",AncientRuins/AncientRuins_ep36_2025-11-17-23-17-02/rgb.mp4,AncientRuins/AncientRuins_ep36_2025-11-17-23-17-02/pose.json,AncientRuins/AncientRuins_ep36_2025-11-17-23-17-02/depth.mp4,480,832
AncientRuins/AncientRuins_ep37_2025-11-17-23-19-54/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep37_2025-11-17-23-19-54/rgb.mp4,AncientRuins/AncientRuins_ep37_2025-11-17-23-19-54/pose.json,AncientRuins/AncientRuins_ep37_2025-11-17-23-19-54/depth.mp4,480,832
AncientRuins/AncientRuins_ep38_2025-11-17-23-22-42/rgb.mp4,"Ancient stone ruins stand amidst lush greenery with mountains in the background, bathed in natural sunlight under a partly cloudy sky, evoking a sense of history and tranquility.",AncientRuins/AncientRuins_ep38_2025-11-17-23-22-42/rgb.mp4,AncientRuins/AncientRuins_ep38_2025-11-17-23-22-42/pose.json,AncientRuins/AncientRuins_ep38_2025-11-17-23-22-42/depth.mp4,480,832
AncientRuins/AncientRuins_ep39_2025-11-17-23-25-29/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep39_2025-11-17-23-25-29/rgb.mp4,AncientRuins/AncientRuins_ep39_2025-11-17-23-25-29/pose.json,AncientRuins/AncientRuins_ep39_2025-11-17-23-25-29/depth.mp4,480,832
AncientRuins/AncientRuins_ep3_2025-11-17-21-43-50/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery, set against a backdrop of rolling hills and a partly cloudy sky, creating a serene and historical atmosphere.",AncientRuins/AncientRuins_ep3_2025-11-17-21-43-50/rgb.mp4,AncientRuins/AncientRuins_ep3_2025-11-17-21-43-50/pose.json,AncientRuins/AncientRuins_ep3_2025-11-17-21-43-50/depth.mp4,480,832
AncientRuins/AncientRuins_ep40_2025-11-17-23-28-14/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of misty mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep40_2025-11-17-23-28-14/rgb.mp4,AncientRuins/AncientRuins_ep40_2025-11-17-23-28-14/pose.json,AncientRuins/AncientRuins_ep40_2025-11-17-23-28-14/depth.mp4,480,832
AncientRuins/AncientRuins_ep41_2025-11-17-23-31-03/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and purple flowers, overlooking a vast mountainous landscape under a partly cloudy sky.",AncientRuins/AncientRuins_ep41_2025-11-17-23-31-03/rgb.mp4,AncientRuins/AncientRuins_ep41_2025-11-17-23-31-03/pose.json,AncientRuins/AncientRuins_ep41_2025-11-17-23-31-03/depth.mp4,480,832
AncientRuins/AncientRuins_ep42_2025-11-17-23-33-52/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep42_2025-11-17-23-33-52/rgb.mp4,AncientRuins/AncientRuins_ep42_2025-11-17-23-33-52/pose.json,AncientRuins/AncientRuins_ep42_2025-11-17-23-33-52/depth.mp4,480,832
AncientRuins/AncientRuins_ep43_2025-11-17-23-36-40/rgb.mp4,"Ancient stone ruins stand amidst lush greenery with distant mountains under a partly cloudy sky, creating a serene and majestic landscape.",AncientRuins/AncientRuins_ep43_2025-11-17-23-36-40/rgb.mp4,AncientRuins/AncientRuins_ep43_2025-11-17-23-36-40/pose.json,AncientRuins/AncientRuins_ep43_2025-11-17-23-36-40/depth.mp4,480,832
AncientRuins/AncientRuins_ep44_2025-11-17-23-39-28/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, overlooking a vast mountainous landscape under a partly cloudy sky, evoking a sense of history and natural beauty.",AncientRuins/AncientRuins_ep44_2025-11-17-23-39-28/rgb.mp4,AncientRuins/AncientRuins_ep44_2025-11-17-23-39-28/pose.json,AncientRuins/AncientRuins_ep44_2025-11-17-23-39-28/depth.mp4,480,832
AncientRuins/AncientRuins_ep45_2025-11-17-23-42-19/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of misty mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep45_2025-11-17-23-42-19/rgb.mp4,AncientRuins/AncientRuins_ep45_2025-11-17-23-42-19/pose.json,AncientRuins/AncientRuins_ep45_2025-11-17-23-42-19/depth.mp4,480,832
AncientRuins/AncientRuins_ep46_2025-11-17-23-45-04/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep46_2025-11-17-23-45-04/rgb.mp4,AncientRuins/AncientRuins_ep46_2025-11-17-23-45-04/pose.json,AncientRuins/AncientRuins_ep46_2025-11-17-23-45-04/depth.mp4,480,832
AncientRuins/AncientRuins_ep47_2025-11-17-23-47-53/rgb.mp4,"A picturesque ancient ruin set against a backdrop of majestic mountains under a partly cloudy sky. The ruins, composed of weathered stone arches and columns, are partially overgrown with greenery and wildflowers, suggesting a long period of abandonment. The camera pans around the structure, revealing its intricate details and the expansive natural landscape beyond.",AncientRuins/AncientRuins_ep47_2025-11-17-23-47-53/rgb.mp4,AncientRuins/AncientRuins_ep47_2025-11-17-23-47-53/pose.json,AncientRuins/AncientRuins_ep47_2025-11-17-23-47-53/depth.mp4,480,832
AncientRuins/AncientRuins_ep48_2025-11-17-23-50-42/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep48_2025-11-17-23-50-42/rgb.mp4,AncientRuins/AncientRuins_ep48_2025-11-17-23-50-42/pose.json,AncientRuins/AncientRuins_ep48_2025-11-17-23-50-42/depth.mp4,480,832
AncientRuins/AncientRuins_ep49_2025-11-17-23-53-32/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and purple flowers, set against a backdrop of misty mountains under a partly cloudy sky, creating a serene and mystical atmosphere.",AncientRuins/AncientRuins_ep49_2025-11-17-23-53-32/rgb.mp4,AncientRuins/AncientRuins_ep49_2025-11-17-23-53-32/pose.json,AncientRuins/AncientRuins_ep49_2025-11-17-23-53-32/depth.mp4,480,832
AncientRuins/AncientRuins_ep4_2025-11-17-21-46-42/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep4_2025-11-17-21-46-42/rgb.mp4,AncientRuins/AncientRuins_ep4_2025-11-17-21-46-42/pose.json,AncientRuins/AncientRuins_ep4_2025-11-17-21-46-42/depth.mp4,480,832
AncientRuins/AncientRuins_ep5_2025-11-17-21-49-30/rgb.mp4,"An ancient stone ruin with arches and columns stands amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep5_2025-11-17-21-49-30/rgb.mp4,AncientRuins/AncientRuins_ep5_2025-11-17-21-49-30/pose.json,AncientRuins/AncientRuins_ep5_2025-11-17-21-49-30/depth.mp4,480,832
AncientRuins/AncientRuins_ep6_2025-11-17-21-52-16/rgb.mp4,"Ancient stone ruins with broken columns and arches stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky.",AncientRuins/AncientRuins_ep6_2025-11-17-21-52-16/rgb.mp4,AncientRuins/AncientRuins_ep6_2025-11-17-21-52-16/pose.json,AncientRuins/AncientRuins_ep6_2025-11-17-21-52-16/depth.mp4,480,832
AncientRuins/AncientRuins_ep7_2025-11-17-21-54-59/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and purple flowers, set against a backdrop of distant mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep7_2025-11-17-21-54-59/rgb.mp4,AncientRuins/AncientRuins_ep7_2025-11-17-21-54-59/pose.json,AncientRuins/AncientRuins_ep7_2025-11-17-21-54-59/depth.mp4,480,832
AncientRuins/AncientRuins_ep8_2025-11-17-21-57-50/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep8_2025-11-17-21-57-50/rgb.mp4,AncientRuins/AncientRuins_ep8_2025-11-17-21-57-50/pose.json,AncientRuins/AncientRuins_ep8_2025-11-17-21-57-50/depth.mp4,480,832
AncientRuins/AncientRuins_ep9_2025-11-17-22-00-39/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep9_2025-11-17-22-00-39/rgb.mp4,AncientRuins/AncientRuins_ep9_2025-11-17-22-00-39/pose.json,AncientRuins/AncientRuins_ep9_2025-11-17-22-00-39/depth.mp4,480,832
AsianMedivalCity/AsianMedivalCity_ep0_2025-11-28-21-25-01/rgb.mp4,"A tranquil, sunlit scene featuring traditional East Asian architecture with wooden beams and white walls, surrounded by lush green grass and trees. A stone pathway winds through the area, leading towards distant hills and a serene landscape, creating a peaceful and picturesque atmosphere.",AsianMedivalCity/AsianMedivalCity_ep0_2025-11-28-21-25-01/rgb.mp4,AsianMedivalCity/AsianMedivalCity_ep0_2025-11-28-21-25-01/pose.json,AsianMedivalCity/AsianMedivalCity_ep0_2025-11-28-21-25-01/depth.mp4,480,832
AsianMedivalCity/AsianMedivalCity_ep10_2025-11-28-21-58-31/rgb.mp4,"A tranquil, sunlit scene featuring traditional East Asian architecture with wooden torii gates, stone walls, and lush greenery. A wooden cart is parked near the entrance, and the area is adorned with lanterns and banners, creating a serene and picturesque setting.",AsianMedivalCity/AsianMedivalCity_ep10_2025-11-28-21-58-31/rgb.mp4,AsianMedivalCity/AsianMedivalCity_ep10_2025-11-28-21-58-31/pose.json,AsianMedivalCity/AsianMedivalCity_ep10_2025-11-28-21-58-31/depth.mp4,480,832
AsianMedivalCity/AsianMedivalCity_ep12_2025-11-28-22-05-13/rgb.mp4,"A tranquil, sunlit landscape featuring lush green grass, a dirt path, and a row of trees in the distance. Traditional wooden structures with red torii gates and lanterns are visible, suggesting a serene, historical setting. The scene is bathed in warm sunlight, enhancing the peaceful and picturesque atmosphere.",AsianMedivalCity/AsianMedivalCity_ep12_2025-11-28-22-05-13/rgb.mp4,AsianMedivalCity/AsianMedivalCity_ep12_2025-11-28-22-05-13/pose.json,AsianMedivalCity/AsianMedivalCity_ep12_2025-11-28-22-05-13/depth.mp4,480,832
AsianMedivalCity/AsianMedivalCity_ep13_2025-11-28-22-08-32/rgb.mp4,"A tranquil, sunlit landscape featuring lush green grass, a serene pond reflecting the sky, and traditional East Asian architecture with wooden torii gates and stone walls. The scene transitions between close-ups of the grass and wider views of the picturesque countryside dotted with trees and rolling hills, evoking a sense of peace and natural beauty.",AsianMedivalCity/AsianMedivalCity_ep13_2025-11-28-22-08-32/rgb.mp4,AsianMedivalCity/AsianMedivalCity_ep13_2025-11-28-22-08-32/pose.json,AsianMedivalCity/AsianMedivalCity_ep13_2025-11-28-22-08-32/depth.mp4,480,832
AsianMedivalCity/AsianMedivalCity_ep14_2025-11-28-22-11-55/rgb.mp4,"A tranquil, sunlit landscape featuring lush green grass, scattered trees, and traditional East Asian architecture with wooden torii gates and stone walls. A small wooden cart is parked near the structures, adding to the serene, pastoral atmosphere.",AsianMedivalCity/AsianMedivalCity_ep14_2025-11-28-22-11-55/rgb.mp4,AsianMedivalCity/AsianMedivalCity_ep14_2025-11-28-22-11-55/pose.json,AsianMedivalCity/AsianMedivalCity_ep14_2025-11-28-22-11-55/depth.mp4,480,832
AsianMedivalCity/AsianMedivalCity_ep15_2025-11-28-22-15-15/rgb.mp4,"A tranquil, traditional East Asian village with wooden torii gates, stone walls, and lush greenery, bathed in warm sunlight, creating a serene and picturesque setting.",AsianMedivalCity/AsianMedivalCity_ep15_2025-11-28-22-15-15/rgb.mp4,AsianMedivalCity/AsianMedivalCity_ep15_2025-11-28-22-15-15/pose.json,AsianMedivalCity/AsianMedivalCity_ep15_2025-11-28-22-15-15/depth.mp4,480,832
AsianMedivalCity/AsianMedivalCity_ep16_2025-11-28-22-18-35/rgb.mp4,"A tranquil, traditional Japanese village with wooden torii gates, stone pathways, and lush greenery, bathed in warm sunlight, evoking a serene and historic atmosphere.",AsianMedivalCity/AsianMedivalCity_ep16_2025-11-28-22-18-35/rgb.mp4,AsianMedivalCity/AsianMedivalCity_ep16_2025-11-28-22-18-35/pose.json,AsianMedivalCity/AsianMedivalCity_ep16_2025-11-28-22-18-35/depth.mp4,480,832
AsianMedivalCity/AsianMedivalCity_ep17_2025-11-28-22-21-52/rgb.mp4,"A tranquil, sunlit landscape featuring lush green fields, scattered trees, and traditional wooden structures with red torii gates and lanterns, creating a serene and picturesque setting.",AsianMedivalCity/AsianMedivalCity_ep17_2025-11-28-22-21-52/rgb.mp4,AsianMedivalCity/AsianMedivalCity_ep17_2025-11-28-22-21-52/pose.json,AsianMedivalCity/AsianMedivalCity_ep17_2025-11-28-22-21-52/depth.mp4,480,832
AsianMedivalCity/AsianMedivalCity_ep18_2025-11-28-22-25-20/rgb.mp4,"A tranquil, sunlit landscape featuring traditional East Asian architecture with wooden torii gates and stone walls, surrounded by lush green grass and trees, creating a serene and picturesque setting.",AsianMedivalCity/AsianMedivalCity_ep18_2025-11-28-22-25-20/rgb.mp4,AsianMedivalCity/AsianMedivalCity_ep18_2025-11-28-22-25-20/pose.json,AsianMedivalCity/AsianMedivalCity_ep18_2025-11-28-22-25-20/depth.mp4,480,832
